"","sampleID","algae","metabolite","replicate","time","time2","algae_present","exudates_present"
"PL5-6","PL5-6","Phaeodactylum","lumichrome",5,6,"6",TRUE,TRUE
"PL5-8","PL5-8","Phaeodactylum","lumichrome",5,8,"8",TRUE,TRUE
"SC1-10","SC1-10","Phaeodactylum spent medium","none",1,10,"10",FALSE,TRUE
"SC1-6","SC1-6","Phaeodactylum spent medium","none",1,6,"6",FALSE,TRUE
"SC1-8","SC1-8","Phaeodactylum spent medium","none",1,8,"8",FALSE,TRUE
"SC2-10","SC2-10","Phaeodactylum spent medium","none",2,10,"10",FALSE,TRUE
"SC2-6","SC2-6","Phaeodactylum spent medium","none",2,6,"6",FALSE,TRUE
"SC2-8","SC2-8","Phaeodactylum spent medium","none",2,8,"8",FALSE,TRUE
"SC3-10","SC3-10","Phaeodactylum spent medium","none",3,10,"10",FALSE,TRUE
"SC3-6","SC3-6","Phaeodactylum spent medium","none",3,6,"6",FALSE,TRUE
"SC3-8","SC3-8","Phaeodactylum spent medium","none",3,8,"8",FALSE,TRUE
"SC4-10","SC4-10","Phaeodactylum spent medium","none",4,10,"10",FALSE,TRUE
"SC4-6","SC4-6","Phaeodactylum spent medium","none",4,6,"6",FALSE,TRUE
"SC4-8","SC4-8","Phaeodactylum spent medium","none",4,8,"8",FALSE,TRUE
"SC5-10","SC5-10","Phaeodactylum spent medium","none",5,10,"10",FALSE,TRUE
"SC5-6","SC5-6","Phaeodactylum spent medium","none",5,6,"6",FALSE,TRUE
"SC5-8","SC5-8","Phaeodactylum spent medium","none",5,8,"8",FALSE,TRUE
"SH1-10","SH1-10","Phaeodactylum spent medium","4hydroxybenzoic_acid",1,10,"10",FALSE,TRUE
"SH1-6","SH1-6","Phaeodactylum spent medium","4hydroxybenzoic_acid",1,6,"6",FALSE,TRUE
"SH1-8","SH1-8","Phaeodactylum spent medium","4hydroxybenzoic_acid",1,8,"8",FALSE,TRUE
"SH2-10","SH2-10","Phaeodactylum spent medium","4hydroxybenzoic_acid",2,10,"10",FALSE,TRUE
"SH2-6","SH2-6","Phaeodactylum spent medium","4hydroxybenzoic_acid",2,6,"6",FALSE,TRUE
"SH2-8","SH2-8","Phaeodactylum spent medium","4hydroxybenzoic_acid",2,8,"8",FALSE,TRUE
"SH3-10","SH3-10","Phaeodactylum spent medium","4hydroxybenzoic_acid",3,10,"10",FALSE,TRUE
"SH3-6","SH3-6","Phaeodactylum spent medium","4hydroxybenzoic_acid",3,6,"6",FALSE,TRUE
"SH3-8","SH3-8","Phaeodactylum spent medium","4hydroxybenzoic_acid",3,8,"8",FALSE,TRUE
"SH4-10","SH4-10","Phaeodactylum spent medium","4hydroxybenzoic_acid",4,10,"10",FALSE,TRUE
"SH4-6","SH4-6","Phaeodactylum spent medium","4hydroxybenzoic_acid",4,6,"6",FALSE,TRUE
"SH4-8","SH4-8","Phaeodactylum spent medium","4hydroxybenzoic_acid",4,8,"8",FALSE,TRUE
"SH5-10","SH5-10","Phaeodactylum spent medium","4hydroxybenzoic_acid",5,10,"10",FALSE,TRUE
"SH5-6","SH5-6","Phaeodactylum spent medium","4hydroxybenzoic_acid",5,6,"6",FALSE,TRUE
