"","Row.names","PStoP","LFC.PStoP","PtoC","LFC.PtoC","PStoC","LFC.PStoC","means","Kingdom","Phylum","Class","Order","Family","Genus","RDPGenus","Species"
"ASV1","ASV1",TRUE,-0.858111669505017,TRUE,0.791510131724674,FALSE,-0.0409816715128069,0.246405144434604,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","Marinobacter","ASV1"
"ASV10","ASV10",TRUE,-0.369818387093016,TRUE,0.954235432194834,TRUE,0.610036911369353,0.0330767652959416,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Seohaeicola","Seohaeicola","ASV10"
"ASV12","ASV12",FALSE,-0.0397042190123971,TRUE,-1.37772599591783,TRUE,-1.39181034866269,0.0416608998563438,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Oceanicaulis","Oceanicaulis","ASV12"
"ASV13","ASV13",TRUE,-0.129034911343565,TRUE,-0.717852709143598,TRUE,-0.821267754219627,0.0361030377439279,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,"ASV13"
"ASV14","ASV14",FALSE,-0.0551488706238265,TRUE,2.69832701180152,TRUE,2.66879800744523,0.0212551496201682,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax","Alcanivorax","ASV14"
"ASV15","ASV15",TRUE,-0.56291371706934,TRUE,0.744506491869757,TRUE,0.207212641067952,0.0221084819164001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius","ASV15"
"ASV16","ASV16",TRUE,-0.851818150243701,TRUE,2.79555422209127,TRUE,1.96935593811511,0.0171658950869633,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","Limnobacter","ASV16"
"ASV17","ASV17",TRUE,-2.31686091503137,TRUE,3.08708304289856,TRUE,0.795841994134726,0.0146316147166341,"Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales",NA,NA,"Bradymonas","ASV17"
"ASV18","ASV18",TRUE,-1.6638091797623,TRUE,-1.48999610847871,TRUE,-3.12818542197347,0.00893592275236713,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia","ASV18"
"ASV19","ASV19",TRUE,0.356247167063851,TRUE,-0.899212111366122,TRUE,-0.517345078034736,0.0128905809610913,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","Erythrobacter","ASV19"
